"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","-1","AVG","OBP","SLG","OPS","wOBA","-1","wRC+","BsR","Fld","-1","Off","Def","WAR","playerid"
"Justin Turner","Dodgers","139","613","533","150","32","1","26","87","85","58","96","15","3","1","",".281",".365",".488",".853",".359","","125","-0.7","-3.3","","19.9","-1.0","3.8","5235"
"Bo Bichette","Blue Jays","146","663","603","166","42","3","22","92","74","45","134","5","24","9","",".275",".329",".464",".793",".333","","108","0.9","-0.7","","7.4","6.5","3.6","19612"
"Vladimir Guerrero Jr.","Blue Jays","143","622","553","163","33","2","25","86","88","57","98","5","3","1","",".296",".364",".502",".866",".363","","128","-1.6","-3.5","","20.5","-5.2","3.6","19611"
"Buster Posey","Giants","117","508","451","124","26","1","11","55","56","47","74","6","2","1","",".275",".347",".410",".757",".324","","102","-2.2","5.7","","-0.5","13.0","3.6","9166"
"J.D. Martinez","Red Sox","150","649","570","172","34","2","39","101","119","69","148","4","3","1","",".302",".378",".577",".955",".391","","142","-3.1","-0.4","","31.7","-17.5","3.6","6184"
"Max Kepler","Twins","144","626","546","142","33","1","30","91","87","65","107","7","6","3","",".260",".344",".491",".835",".350","","118","1.3","6.0","","15.4","-0.5","3.6","12144"
"Gleyber Torres","Yankees","150","618","552","150","26","1","35","86","98","54","128","5","6","3","",".272",".340",".510",".850",".353","","121","-0.2","-8.7","","16.2","-1.2","3.6","16997"
"Jeff McNeil","Mets","147","660","594","171","36","3","20","88","73","42","88","15","9","4","",".288",".348",".463",".811",".342","","116","1.0","-0.3","","14.7","0.7","3.6","15362"
"Matt Olson","Athletics","150","642","558","142","29","1","38","91","103","68","158","10","1","1","",".255",".344",".515",".859",".355","","126","-0.7","5.8","","20.4","-6.7","3.5","14344"
"Paul DeJong","Cardinals","150","642","573","145","31","1","29","79","89","51","151","10","7","3","",".253",".322",".465",".787",".330","","105","0.8","2.7","","5.4","10.2","3.5","18015"
"Andrelton Simmons","Angels","146","616","564","157","31","2","12","69","71","40","58","4","10","4","",".278",".328",".404",".732",".312","","96","-0.3","9.9","","-3.7","17.2","3.4","10847"
"Paul Goldschmidt","Cardinals","150","663","566","155","29","2","31","91","92","84","158","6","5","2","",".273",".369",".495",".864",".362","","126","1.3","1.8","","24.3","-10.7","3.4","9218"
"Peter Alonso","Mets","150","663","573","145","27","2","44","99","105","68","167","14","2","1","",".252",".344",".534",".878",".362","","128","-0.5","1.3","","24.2","-11.2","3.3","19251"
