"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","-1","AVG","OBP","SLG","OPS","wOBA","-1","wRC+","BsR","Fld","-1","Off","Def","WAR","playerid"
"Travis Jones","Royals","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".253",".317",".373",".690",".298","","82","0.0","0.0","","0.0","0.0","0.0","sa829805"
"Oneil Cruz","Pirates","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".244",".294",".375",".669",".284","","74","0.0","0.0","","0.0","0.0","0.0","sa917318"
"Owen Miller","Padres","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".250",".298",".360",".658",".283","","74","0.0","0.0","","0.0","0.0","0.0","sa3006673"
"Jose Pirela","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".255",".307",".406",".713",".301","","85","0.0","0.0","","0.0","0.0","0.0","5485"
"Pablo Reyes","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".254",".311",".403",".714",".304","","87","0.0","0.0","","0.0","0.0","0.0","16357"
"Freddy Fermin","Royals","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".238",".280",".360",".640",".273","","65","0.0","0.0","","0.0","0.0","0.0","sa918173"
"Eli White","Rangers","5","20","18","4","1","0","0","2","2","1","5","0","0","0","",".237",".300",".355",".655",".283","","65","0.0","0.0","","-0.9","0.2","0.0","sa738478"
"Rainel Rosario","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".241",".310",".393",".703",".301","","84","0.0","0.0","","0.0","0.0","0.0","sa396238"
"Mason Williams","Orioles","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".268",".318",".398",".717",".305","","87","0.0","0.0","","0.0","0.0","0.0","11859"
"Zach Green","Giants","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".218",".284",".401",".685",".289","","80","0.0","0.0","","0.0","0.0","0.0","14973"
"Ronald Torreyes","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".263",".296",".378",".675",".287","","76","0.0","0.0","","0.0","0.0","0.0","11400"
"Chris Gittens","Yankees","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".225",".309",".417",".726",".309","","91","0.0","0.0","","0.0","0.0","0.0","sa829048"
"Royce Lewis","Twins","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".241",".285",".369",".654",".279","","70","0.0","0.0","","0.0","0.0","0.0","sa3004259"
"Zach McKinstry","Dodgers","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".239",".296",".376",".672",".288","","79","0.0","0.0","","0.0","0.0","0.0","sa918920"
"Ryan Boldt","Rays","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".241",".297",".381",".678",".290","","81","0.0","0.0","","0.0","0.0","0.0","sa738262"
"Lonnie Chisenhall","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".242",".304",".394",".698",".297","","81","0.0","0.0","","0.0","0.0","0.0","7571"
"L.T. Tolbert","Diamondbacks","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".271",".312",".376",".688",".295","","78","0.0","0.0","","0.0","0.0","0.0","sa876146"
"Luis Santana","Astros","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".249",".297",".354",".651",".281","","75","0.0","0.0","","0.0","0.0","0.0","sa921577"
"Marco Hernandez","Red Sox","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".269",".307",".384",".691",".294","","77","0.0","0.0","","0.0","0.0","0.0","13154"
"Christian Bethancourt","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".229",".272",".380",".652",".276","","70","0.0","0.0","","0.0","0.0","0.0","10028"
"Julio Rodriguez","Cardinals","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".236",".276",".366",".642",".272","","67","0.0","0.0","","0.0","0.0","0.0","sa917669"
"Jordan George","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".243",".324",".360",".684",".299","","83","0.0","0.0","","0.0","0.0","0.0","sa876211"
"Colton Shaver","Astros","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".208",".282",".373",".655",".280","","75","0.0","0.0","","0.0","0.0","0.0","sa915847"
"Kendrys Morales","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".251",".327",".439",".766",".324","","100","0.0","0.0","","0.0","0.0","0.0","8610"
"Luis Campusano","Padres","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".236",".288",".344",".632",".273","","67","0.0","0.0","","0.0","0.0","0.0","sa3004041"
"Dorssys Paulino","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".229",".298",".349",".647",".281","","71","0.0","0.0","","0.0","0.0","0.0","sa659464"
"Andrew Toles","Dodgers","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".250",".294",".404",".698",".295","","83","0.0","0.0","","0.0","0.0","0.0","13414"
"Jett Bandy","Red Sox","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".223",".280",".372",".652",".278","","66","0.0","0.0","","0.0","0.0","0.0","12508"
"Boog Powell","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".235",".315",".342",".656",".288","","80","0.0","0.0","","0.0","0.0","0.0","15103"
"Forrest Wall","Blue Jays","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".237",".299",".360",".659",".284","","75","0.0","0.0","","0.0","0.0","0.0","sa828682"
"Brian Serven","Rockies","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".244",".299",".401",".701",".298","","67","0.0","0.0","","0.0","0.0","0.0","sa857231"
"Mitchell Kranson","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".231",".285",".347",".632",".272","","65","0.0","0.0","","0.0","0.0","0.0","sa918156"
"Leonys Martin","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".231",".295",".380",".675",".289","","76","0.0","0.0","","0.0","0.0","0.0","11846"
"Jason Goldstein","Athletics","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".220",".271",".339",".610",".263","","63","0.0","0.0","","0.0","0.0","0.0","sa857721"
"Justin Williams","Cardinals","2","7","6","2","0","0","0","1","1","0","2","0","0","0","",".248",".302",".403",".705",".299","","85","0.0","0.0","","-0.1","-0.1","0.0","15490"
"Jason Krizan","Athletics","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".239",".307",".363",".670",".289","","81","0.0","0.0","","0.0","0.0","0.0","sa546842"
"Alex Guerrero","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".234",".297",".428",".725",".305","","87","0.0","0.0","","0.0","0.0","0.0","15670"
"Ramon Flores","Twins","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".246",".328",".366",".694",".301","","85","0.0","0.0","","0.0","0.0","0.0","11165"
"Mike Marjama","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".225",".280",".365",".645",".276","","68","0.0","0.0","","0.0","0.0","0.0","12594"
"Rene Pinto","Rays","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".223",".275",".331",".607",".262","","63","0.0","0.0","","0.0","0.0","0.0","sa826668"
"Brandon Marsh","Angels","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".243",".309",".363",".672",".289","","80","0.0","0.0","","0.0","0.0","0.0","sa917944"
"P.J. Higgins","Cubs","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".231",".296",".336",".631",".275","","66","0.0","0.0","","0.0","0.0","0.0","sa875573"
"Dante Bichette","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".243",".305",".360",".665",".288","","75","0.0","0.0","","0.0","0.0","0.0","sa597776"
"Mandy Alvarez","Yankees","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".240",".285",".380",".665",".283","","74","0.0","0.0","","0.0","0.0","0.0","sa913279"
"Clayton Daniel","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".250",".301",".354",".656",".283","","72","0.0","0.0","","0.0","0.0","0.0","sa3007646"
"Jose Marmolejos","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".261",".314",".401",".715",".304","","83","0.0","0.0","","0.0","0.0","0.0","sa598311"
"Raffy Lopez","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".212",".282",".356",".638",".272","","65","0.0","0.0","","0.0","0.0","0.0","12606"
"Chris Carter","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".207",".307",".455",".762",".320","","99","0.0","0.0","","0.0","0.0","0.0","9911"
"Caleb Hamilton","Twins","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".215",".281",".339",".621",".268","","63","0.0","0.0","","0.0","0.0","0.0","sa738961"
"Ryan Lidge","Yankees","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".216",".280",".333",".614",".267","","63","0.0","0.0","","0.0","0.0","0.0","sa738984"
"Vince Fernandez","Rockies","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".247",".319",".451",".769",".322","","83","0.0","0.0","","0.0","0.0","0.0","sa873990"
"Jace Peterson","Brewers","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".242",".326",".378",".704",".305","","85","0.0","0.0","","0.0","0.0","0.0","12325"
"Jabari Blash","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".211",".316",".405",".721",".309","","90","0.0","0.0","","0.0","0.0","0.0","11247"
"Justin Toerner","Cardinals","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".238",".315",".367",".683",".295","","83","0.0","0.0","","0.0","0.0","0.0","sa3006735"
"Emmanuel Rivera","Royals","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".258",".296",".376",".672",".286","","73","0.0","0.0","","0.0","0.0","0.0","sa875798"
"Junior Lake","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".239",".318",".395",".713",".305","","89","0.0","0.0","","0.0","0.0","0.0","4672"
"Trey Amburgey","Yankees","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".238",".282",".412",".694",".291","","79","0.0","0.0","","0.0","0.0","0.0","sa875629"
"Denard Span","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".249",".319",".401",".720",".309","","89","0.0","0.0","","0.0","0.0","0.0","8347"
"Tim Federowicz","Rangers","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".233",".291",".374",".665",".284","","65","0.0","0.0","","0.0","0.0","0.0","8609"
"Tyler Austin","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".224",".300",".434",".734",".308","","89","0.0","0.0","","0.0","0.0","0.0","11850"
"Martin Prado","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".261",".308",".373",".681",".292","","79","0.0","0.0","","0.0","0.0","0.0","3312"
"Khalil Lee","Royals","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".236",".314",".363",".676",".294","","79","0.0","0.0","","0.0","0.0","0.0","sa917996"
"Jesus Sucre","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".249",".293",".361",".654",".280","","70","0.0","0.0","","0.0","0.0","0.0","5942"
"Luis Gonzalez","White Sox","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".238",".299",".375",".674",".289","","79","0.0","0.0","","0.0","0.0","0.0","sa3002721"
"Daniel Mayora","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".247",".301",".373",".674",".289","","76","0.0","0.0","","0.0","0.0","0.0","sa291160"
"Peter Maris","Giants","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".234",".293",".346",".638",".276","","71","0.0","0.0","","0.0","0.0","0.0","sa877608"
"Michael Reed","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".227",".322",".359",".682",".298","","82","0.0","0.0","","0.0","0.0","0.0","13228"
"Danny Valencia","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".250",".313",".423",".735",".311","","91","0.0","0.0","","0.0","0.0","0.0","6364"
"Mitch Longo","Indians","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".256",".307",".387",".695",".297","","79","0.0","0.0","","0.0","0.0","0.0","sa874178"
"Calten Daal","Twins","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".264",".295",".345",".640",".276","","68","0.0","0.0","","0.0","0.0","0.0","sa729572"
"Taylor Grzelakowski","Twins","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".221",".284",".333",".617",".267","","62","0.0","0.0","","0.0","0.0","0.0","sa3005298"
"Mason McCoy","Orioles","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".250",".298",".339",".638",".276","","67","0.0","0.0","","0.0","0.0","0.0","sa3002758"
"Pavin Smith","Diamondbacks","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".262",".325",".413",".738",".314","","91","0.0","0.0","","0.0","0.0","0.0","sa829595"
"Phillip Evans","Pirates","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".251",".311",".380",".691",".297","","82","0.0","0.0","","0.0","0.0","0.0","12950"
"David Vidal","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".236",".299",".369",".668",".287","","75","0.0","0.0","","0.0","0.0","0.0","sa548470"
"Zack Short","Cubs","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".208",".298",".347",".645",".281","","70","0.0","0.0","","0.0","0.0","0.0","sa873287"
"Chase Calabuig","Athletics","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".239",".312",".342",".654",".286","","79","0.0","0.0","","0.0","0.0","0.0","sa3006927"
"Irving Lopez","Cardinals","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".245",".298",".366",".664",".285","","76","0.0","0.0","","0.0","0.0","0.0","sa3002878"
"Josh Lowe","Rays","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".225",".292",".372",".664",".285","","78","0.0","0.0","","0.0","0.0","0.0","sa917926"
"Jared James","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".247",".303",".387",".690",".295","","80","0.0","0.0","","0.0","0.0","0.0","sa829527"
"Josh Lester","Tigers","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".226",".286",".383",".669",".283","","72","0.0","0.0","","0.0","0.0","0.0","sa658811"
"Hunter Owen","Pirates","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".232",".283",".395",".678",".287","","76","0.0","0.0","","0.0","0.0","0.0","sa918597"
"Matt Davidson","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".217",".286",".415",".701",".296","","84","0.0","0.0","","0.0","0.0","0.0","7226"
"Ryan McKenna","Orioles","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".241",".309",".371",".679",".293","","78","0.0","0.0","","0.0","0.0","0.0","sa875055"
"Yariel Gonzalez","Cardinals","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".249",".294",".377",".671",".284","","76","0.0","0.0","","0.0","0.0","0.0","sa920278"
"Adam Jones","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".259",".306",".424",".730",".307","","89","0.0","0.0","","0.0","0.0","0.0","6368"
"Roberto Ramos","Rockies","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".261",".330",".469",".799",".334","","91","0.0","0.0","","0.0","0.0","0.0","sa829199"
"Julian Leon","Angels","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".191",".278",".316",".594",".262","","61","0.0","0.0","","0.0","0.0","0.0","sa739577"
"Kevin Smith","Blue Jays","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".219",".263",".383",".646",".272","","66","0.0","0.0","","0.0","0.0","0.0","sa915864"
"Rusney Castillo","Red Sox","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".279",".316",".411",".727",".309","","86","0.0","0.0","","0.0","0.0","0.0","17016"
"Kramer Robertson","Cardinals","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".226",".303",".325",".628",".277","","70","0.0","0.0","","0.0","0.0","0.0","sa857820"
"Joey Rickard","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".243",".312",".378",".690",".296","","84","0.0","0.0","","0.0","0.0","0.0","13277"
"Jared Oliva","Pirates","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".254",".310",".375",".685",".295","","81","0.0","0.0","","0.0","0.0","0.0","sa915844"
"Martin Cervenka","Orioles","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".222",".276",".345",".621",".267","","61","0.0","0.0","","0.0","0.0","0.0","sa492636"
"Pat Valaika","","2","6","6","1","0","0","0","1","1","0","2","0","0","0","",".227",".271",".392",".663",".280","","69","0.0","0.0","","-0.2","0.0","0.0","14885"
"Jacob Wilson","Nationals","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".238",".305",".377",".683",".293","","76","0.0","0.0","","0.0","0.0","0.0","sa658158"
"William Contreras","Braves","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".236",".288",".351",".639",".274","","65","0.0","0.0","","0.0","0.0","0.0","sa872847"
"Mark Payton","Reds","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".240",".305",".405",".710",".302","","81","0.0","0.0","","0.0","0.0","0.0","sa549855"
"J.C. Millan","Marlins","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".242",".290",".369",".659",".282","","75","0.0","0.0","","0.0","0.0","0.0","sa922148"
"Connor Joe","Dodgers","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".229",".313",".368",".681",".295","","84","0.0","0.0","","0.0","0.0","0.0","16572"
"Matt Szczur","Phillies","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".237",".314",".392",".705",".303","","84","0.0","0.0","","0.0","0.0","0.0","11255"
"Jon Kemmer","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".221",".293",".396",".689",".293","","82","0.0","0.0","","0.0","0.0","0.0","sa738208"
"Jonathan India","Reds","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".231",".305",".376",".682",".292","","75","0.0","0.0","","0.0","0.0","0.0","sa3008178"
"Moises Sierra","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".259",".328",".390",".717",".308","","86","0.0","0.0","","0.0","0.0","0.0","6050"
"Jack Kruger","Angels","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".230",".279",".324",".603",".261","","61","0.0","0.0","","0.0","0.0","0.0","sa918429"
"Miles Mastrobuoni","Rays","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".243",".305",".328",".633",".276","","72","0.0","0.0","","0.0","0.0","0.0","sa918318"
"Ian Sagdal","Nationals","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".258",".305",".375",".680",".292","","75","0.0","0.0","","0.0","0.0","0.0","sa875695"
"Damek Tomscha","White Sox","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".229",".287",".360",".646",".277","","72","0.0","0.0","","0.0","0.0","0.0","sa550391"
"Jorge Bonifacio","Tigers","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".233",".298",".402",".700",".297","","82","0.0","0.0","","0.0","0.0","0.0","12174"
"Juan Yepez","Cardinals","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".240",".289",".376",".665",".283","","75","0.0","0.0","","0.0","0.0","0.0","sa877505"
"J.J. Matijevic","Astros","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".224",".279",".393",".672",".284","","78","0.0","0.0","","0.0","0.0","0.0","sa829488"
"Jazz Chisholm","Marlins","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".211",".274",".365",".639",".273","","69","0.0","0.0","","0.0","0.0","0.0","sa919327"
"Drew Ellis","Diamondbacks","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".223",".298",".375",".672",".289","","75","0.0","0.0","","0.0","0.0","0.0","sa3004687"
"Kyle Holder","Yankees","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".238",".287",".343",".630",".272","","66","0.0","0.0","","0.0","0.0","0.0","sa857840"
"Tyler White","Dodgers","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".236",".315",".400",".715",".306","","91","0.0","0.0","","0.0","0.0","0.0","15564"
"Josh Tobias","Red Sox","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".255",".304",".362",".666",".287","","72","0.0","0.0","","0.0","0.0","0.0","sa599333"
"Jhonny Pereda","Cubs","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".231",".298",".325",".623",".272","","64","0.0","0.0","","0.0","0.0","0.0","sa735866"
"Nick Longhi","Red Sox","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".253",".301",".395",".696",".296","","78","0.0","0.0","","0.0","0.0","0.0","sa738434"
"Lars Nootbaar","Cardinals","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".246",".306",".374",".680",".292","","81","0.0","0.0","","0.0","0.0","0.0","sa3006649"
"Mark Mathias","Brewers","2","7","6","1","0","0","0","1","1","1","1","0","0","0","",".230",".301",".360",".660",".285","","72","0.0","0.0","","-0.2","0.0","0.0","sa875006"
"Eric Wood","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".220",".284",".381",".665",".284","","73","0.0","0.0","","0.0","0.0","0.0","sa602394"
"Carlos Gomez","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".231",".302",".401",".703",".300","","84","0.0","0.0","","0.0","0.0","0.0","4881"
"Tyler Friis","Indians","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".236",".300",".338",".638",".277","","65","0.0","0.0","","0.0","0.0","0.0","sa915593"
"Francisco Pena","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".233",".274",".380",".654",".276","","70","0.0","0.0","","0.0","0.0","0.0","8298"
"Michael Osinski","Red Sox","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".245",".303",".359",".661",".286","","71","0.0","0.0","","0.0","0.0","0.0","sa3004298"
"Luis Villegas","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".220",".274",".348",".622",".267","","62","0.0","0.0","","0.0","0.0","0.0","sa547944"
"Johan Mieses","Red Sox","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".230",".287",".413",".700",".295","","77","0.0","0.0","","0.0","0.0","0.0","sa747574"
"Rosell Herrera","Yankees","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".241",".305",".363",".668",".288","","77","0.0","0.0","","0.0","0.0","0.0","11611"
"Gavin Sheets","White Sox","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".244",".306",".393",".700",".299","","87","0.0","0.0","","0.0","0.0","0.0","sa829797"
"Nick Franklin","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".232",".300",".372",".672",".289","","77","0.0","0.0","","0.0","0.0","0.0","10166"
"Taylor Gushue","Nationals","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".225",".280",".362",".642",".274","","63","0.0","0.0","","0.0","0.0","0.0","sa827360"
"Alan Trejo","Rockies","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".265",".303",".406",".709",".301","","69","0.0","0.0","","0.0","0.0","0.0","sa3002726"
"Wilmer Difo","Nationals","2","6","6","1","0","0","0","1","1","1","1","0","0","0","",".246",".308",".352",".660",".283","","69","0.0","0.0","","-0.3","0.0","0.0","14320"
"Christian Colon","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".257",".322",".364",".685",".297","","78","0.0","0.0","","0.0","0.0","0.0","11145"
"Mikey White","Athletics","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".224",".280",".335",".615",".266","","65","0.0","0.0","","0.0","0.0","0.0","sa658966"
"Jim Haley","Rays","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".236",".275",".365",".640",".273","","70","0.0","0.0","","0.0","0.0","0.0","sa918418"
"Jefry Marte","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".233",".299",".422",".721",".305","","87","0.0","0.0","","0.0","0.0","0.0","5107"
"Sicnarf Loopstok","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".205",".280",".345",".624",".268","","59","0.0","0.0","","-0.1","0.0","0.0","sa737949"
"Kody Clemens","Tigers","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".231",".289",".365",".654",".280","","70","0.0","0.0","","0.0","0.0","0.0","sa3008002"
"Ryder Jones","Red Sox","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".245",".297",".397",".694",".294","","76","0.0","0.0","","0.0","0.0","0.0","15982"
"Ernie De La Trinidad","Twins","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".245",".304",".368",".672",".289","","77","0.0","0.0","","0.0","0.0","0.0","sa3003955"
"Edgar Corcino","Red Sox","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".254",".305",".386",".691",".294","","76","0.0","0.0","","0.0","0.0","0.0","sa502309"
"C.J. Hinojosa","Brewers","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".245",".299",".350",".650",".280","","68","0.0","0.0","","0.0","0.0","0.0","sa658616"
"Heliot Ramos","Giants","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".239",".297",".380",".677",".289","","80","0.0","0.0","","0.0","0.0","0.0","sa3004693"
"Carmen Benedetti","Astros","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".223",".297",".354",".651",".282","","76","0.0","0.0","","0.0","0.0","0.0","sa918269"
"Jason Vosler","Padres","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".218",".284",".376",".660",".282","","73","0.0","0.0","","0.0","0.0","0.0","sa829190"
"Dylan Cozens","Rays","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".196",".286",".392",".677",".288","","81","0.0","0.0","","0.0","0.0","0.0","15115"
"Gabriel Cancel","Royals","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".239",".285",".375",".660",".280","","70","0.0","0.0","","0.0","0.0","0.0","sa875231"
"Taylor Jones","Astros","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".230",".305",".385",".690",".296","","86","0.0","0.0","","0.0","0.0","0.0","sa876202"
"Chris Chinea","Cardinals","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".229",".271",".349",".620",".265","","62","0.0","0.0","","0.0","0.0","0.0","sa827344"
"Dario Pizzano","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".244",".309",".371",".680",".292","","78","0.0","0.0","","0.0","0.0","0.0","sa658253"
"Mike Papi","Indians","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".225",".314",".361",".675",".293","","76","0.0","0.0","","0.0","0.0","0.0","sa599318"
"Jason Delay","Pirates","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".225",".275",".347",".621",".267","","62","0.0","0.0","","0.0","0.0","0.0","sa857222"
"Brett Netzer","Red Sox","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".251",".302",".356",".659",".284","","70","0.0","0.0","","0.0","0.0","0.0","sa3004804"
"Michael Wing","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".235",".284",".382",".666",".282","","72","0.0","0.0","","0.0","0.0","0.0","sa392185"
"Drew Waters","Braves","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".257",".303",".394",".697",".296","","79","0.0","0.0","","0.0","0.0","0.0","sa3004378"
"Zander Wiel","Twins","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".241",".297",".420",".717",".302","","85","0.0","0.0","","0.0","0.0","0.0","sa857249"
"Jose Rondon","Orioles","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".236",".284",".386",".670",".284","","73","0.0","0.0","","0.0","0.0","0.0","14140"
"Stephen Alemais","Pirates","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".249",".299",".334",".633",".275","","68","0.0","0.0","","0.0","0.0","0.0","sa874070"
"Ryan Goins","Athletics","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".234",".295",".350",".645",".278","","73","0.0","0.0","","0.0","0.0","0.0","9807"
